X,Y,OBJECTID,COUNTY,DATE_STAMP,DESCRIPTION_BSL,DIRECTION_OP,DIST,DLAT_GIS,DLONG_GIS,MB_DIR,MUNICIPALITY,PLACE_NO,STOP_NUM,STOP_TYPE,STREET_DIR,ALL_LINES
486608.239885081,631820.132252991,14779,Middlesex,2024/09/14 00:00:00+00,UNION AVE AT HAZELWOOD AVE,Ou,0,40.56798,-74.51985,,MIDDLESEX,,23362,NS,W,"114, 65"
553476.406017244,520427.308451153,14780,Monmouth,2024/09/15 00:00:00+00,THROCKMORTON ST AT MONMOUTH AVE,Ou,0,40.26202,-74.28013,,FREEHOLD,,24496,FS,E,"139, 64, 67, 836"
507135.092203997,592753.907564074,14781,Middlesex,2024/09/15 00:00:00+00,N MAIN ST AT EAST LAWRENCE ST#,In,0,40.46075,-74.4461,,MILLTOWN,,23365,FS,N,811
553517.422667496,520471.183363408,14782,Monmouth,2024/09/15 00:00:00+00,THROCKMORTON ST AT MONMOUTH AVE,In,0,40.26208,-74.28005,,FREEHOLD,,24497,NS,W,"139, 64, 67, 836"
507074.202561997,592736.438438907,14783,Middlesex,2024/09/15 00:00:00+00,N MAIN ST AT WEST LAWRENCE AVE#,Ou,0,40.4607,-74.44626,,MILLTOWN,,23366,NS,S,811
552281.739771411,521354.251479156,14784,Monmouth,2024/09/15 00:00:00+00,THROCKMORTON ST AT RHEA ST,In,0,40.2645,-74.28445,,FREEHOLD,,24498,FS,W,"139, 64, 67, 836, 838"
507169.246991329,591773.785836652,14785,Middlesex,2024/09/15 00:00:00+00,N MAIN ST AT PARDUN AVE#,Ou,0,40.45806,-74.44592,,MILLTOWN,,23367,NS,S,811
551551.455798913,521614.558045156,14786,Monmouth,2024/09/15 00:00:00+00,THROCKMORTON ST 2600' E of RT-9,In,2600,40.26525,-74.28705,E,FREEHOLD,,24499,MB,W,"139, 64, 67, 836, 838"
508069.511594996,590669.653202407,14787,Middlesex,2024/09/15 00:00:00+00,N MAIN ST AT RIVA AVE#,Ou,0,40.45505,-74.44267,,MILLTOWN,,23368,NS,S,811
562653.183267329,559826.561673492,14788,Monmouth,2024/09/14 00:00:00+00,RT-79 AT BROWN RD#,Ou,0,40.37009,-74.24685,,MARLBORO TWP,,24873,NS,S,"131, 135"
508504.654097412,590234.770870075,14789,Middlesex,2024/09/15 00:00:00+00,N MAIN ST AT COTTAGE AVE#,Ou,0,40.45386,-74.4411,,MILLTOWN,,23369,FS,S,811
562334.072028913,558236.904747821,14790,Monmouth,2024/09/14 00:00:00+00,RT-79 AT CONOVER RD#,Ou,0,40.36573,-74.24801,,MARLBORO TWP,,24874,NS,S,"131, 135"
509278.269019995,589372.897593819,14791,Middlesex,2024/09/15 00:00:00+00,N MAIN ST AT FORD AVE#,Ou,0,40.45148,-74.43835,,MILLTOWN,,23370,NS,S,811
562043.693672661,555395.308068819,14792,Monmouth,2024/09/14 00:00:00+00,RT-79 AT HARBOR RD#,Ou,0,40.35793,-74.24906,,MARLBORO TWP,,24875,NS,S,"131, 135"
510259.446847662,588566.575059488,14793,Middlesex,2024/09/15 00:00:00+00,MAIN ST AT LAKEWOOD AVE#,Ou,0,40.44925,-74.43483,,MILLTOWN,MAINLAKE,23371,NS,S,811
561895.512538578,553889.786145486,14794,Monmouth,2024/09/14 00:00:00+00,RT-79 AT RIDGE RD#,Ou,0,40.3538,-74.24963,,MARLBORO TWP,,24876,FS,S,"131, 135"
510653.662266579,587043.290048324,14795,Middlesex,2024/09/15 00:00:00+00,S MAIN ST AT LINCOLN AVE#,Ou,0,40.44507,-74.4334,,MILLTOWN,,23372,NS,S,811
561755.861571163,552614.522947989,14796,Monmouth,2024/09/14 00:00:00+00,RT-79 AT STATION RD,Ou,0,40.3503,-74.25014,,MARLBORO TWP,,24877,FS,S,"131, 135"
511477.087128911,585917.360869735,14797,Middlesex,2024/09/15 00:00:00+00,S MAIN ST AT FOCH AVE#,Ou,0,40.44198,-74.43045,,MILLTOWN,,23373,NS,S,811
561872.142506577,551097.934117652,14798,Monmouth,2024/09/14 00:00:00+00,RT-79 AT WYNCREST RD#,Ou,0,40.34614,-74.24974,,MARLBORO TWP,,24878,NS,S,"131, 135"
512197.446580578,584538.57425724,14799,Middlesex,2024/09/15 00:00:00+00,S MAIN ST AT MILLERS LN#,Ou,0,40.43819,-74.42788,,MILLTOWN,,23375,FS,S,811
563297.179354664,543897.308098987,14800,Monmouth,2024/09/14 00:00:00+00,RT-79 AT UPPER GIRARD ST#,Ou,0,40.32636,-74.2447,,MARLBORO TWP,,24880,NS,S,"131, 135"
512359.911150664,584487.350278325,14801,Middlesex,2024/09/15 00:00:00+00,S MAIN ST AT MILLERS LN#,In,0,40.43803,-74.42731,,MILLTOWN,,23376,NS,N,811
563339.526054747,543424.562653407,14802,Monmouth,2024/09/14 00:00:00+00,RT-79 AT LOWER GIRARD ST#,Ou,0,40.32506,-74.24458,,MARLBORO TWP,,24881,NS,S,"131, 135"
511706.750711579,585578.539696991,14803,Middlesex,2024/09/15 00:00:00+00,S MAIN ST AT JOFFRE AVE#,In,0,40.44104,-74.42965,,MILLTOWN,,23377,FS,N,811
562798.452005662,540839.615723573,14804,Monmouth,2024/09/14 00:00:00+00,RT-79 AT BUCK LANE#,Ou,0,40.31797,-74.24654,,MARLBORO TWP,,24882,NS,S,"131, 135"
511329.344642244,586307.804970741,14805,Middlesex,2024/09/15 00:00:00+00,S MAIN ST AT ACKERMANN AVE#,In,0,40.44303,-74.43103,,MILLTOWN,,23378,NS,N,811
561887.457764663,539293.018751152,14806,Monmouth,2024/09/14 00:00:00+00,SCHOOL ROAD PARK & RIDE#,In,0,40.31373,-74.24982,,MARLBORO TWP,SCHLROAD,24883,FS,S,"131, 135"
510729.970840994,586998.997157909,14807,Middlesex,2024/09/15 00:00:00+00,S MAIN ST AT LINCOLN AVE#,In,0,40.44493,-74.4332,,MILLTOWN,,23379,NS,N,811
561823.882432494,552688.997208491,14808,Monmouth,2024/09/14 00:00:00+00,RT-79 AT BLOSSOM AVE,In,0,40.35051,-74.24997,,MARLBORO TWP,,24901,FS,N,135
510350.885313079,588517.372730069,14809,Middlesex,2024/09/15 00:00:00+00,MAIN ST AT LAKEWOOD AVE#,In,0,40.4491,-74.43454,,MILLTOWN,MAINLAKE,23380,NS,N,811
563321.748531245,576049.767087907,14810,Monmouth,2024/09/14 00:00:00+00,RT-34 AT MIDDLESEX AVE#,Ou,0,40.41461,-74.24431,,MATAWAN,,24925,NS,N,133
507197.888338245,591919.21205499,14811,Middlesex,2024/09/15 00:00:00+00,N MAIN ST AT HERBERT AVE#,In,0,40.45845,-74.44587,,MILLTOWN,,23381,NS,N,811
565267.599626411,572284.126981407,14812,Monmouth,2024/09/14 00:00:00+00,MAIN ST at CR-516 #,Ou,0,40.40427,-74.23735,,MATAWAN,,24932,NS,S,"131, 133, 135"
509051.016193662,589680.841531739,14813,Middlesex,2024/09/15 00:00:00+00,N MAIN ST AT EAST CHURCH ST#,In,0,40.45229,-74.43921,,MILLTOWN,,23382,NS,N,811
565226.701414246,571228.120563239,14814,Monmouth,2024/09/14 00:00:00+00,RT-79 AT VERMONT CT#,Ou,0,40.40137,-74.23751,,MATAWAN,,24939,NS,S,"131, 135"
508237.886914413,590589.881052241,14815,Middlesex,2024/09/15 00:00:00+00,N MAIN ST AT VANDERBILT AVE#,In,0,40.45481,-74.44209,,MILLTOWN,,23383,NS,N,811
